Question,A,B,C,D,True Answer,True_Option,MC,MC_R
10 / 2 等于多少?,5,11,6,2,5,A,"请选择一个选项10 / 2 等于多少?: A 5.0 , B 11.0 , C 6.0 , D 2.0。只能选择一个选项，禁止解释。","请选择一个选项10 / 2 等于多少?: B 11.0 , A 5.0 , C 6.0 , D 2.0。只能选择一个选项，禁止解释。"
1 + 5 等于多少?,6,3,7,12,6,A,"请选择一个选项1 + 5 等于多少?: A 6.0 , B 3.0 , C 7.0 , D 12.0。只能选择一个选项，禁止解释。","请选择一个选项1 + 5 等于多少?: B 3.0 , A 6.0 , C 7.0 , D 12.0。只能选择一个选项，禁止解释。"
8 - 2 等于多少?,7,10,3,6,6,D,"请选择一个选项8 - 2 等于多少?: A 7.0 , B 10.0 , C 3.0 , D 6.0。只能选择一个选项，禁止解释。","请选择一个选项8 - 2 等于多少?: B 10.0 , A 7.0 , C 3.0 , D 6.0。只能选择一个选项，禁止解释。"
5 - 1 等于多少?,9,6,2,4,4,D,"请选择一个选项5 - 1 等于多少?: A 9.0 , B 6.0 , C 2.0 , D 4.0。只能选择一个选项，禁止解释。","请选择一个选项5 - 1 等于多少?: B 6.0 , A 9.0 , C 2.0 , D 4.0。只能选择一个选项，禁止解释。"
4 * 7 等于多少?,27,28,33,29,28,B,"请选择一个选项4 * 7 等于多少?: A 27.0 , B 28.0 , C 33.0 , D 29.0。只能选择一个选项，禁止解释。","请选择一个选项4 * 7 等于多少?: B 28.0 , A 27.0 , C 33.0 , D 29.0。只能选择一个选项，禁止解释。"
1 * 6 等于多少?,6,10,4,8,6,A,"请选择一个选项1 * 6 等于多少?: A 6.0 , B 10.0 , C 4.0 , D 8.0。只能选择一个选项，禁止解释。","请选择一个选项1 * 6 等于多少?: B 10.0 , A 6.0 , C 4.0 , D 8.0。只能选择一个选项，禁止解释。"
90 / 10 等于多少?,15,12,7,9,9,D,"请选择一个选项90 / 10 等于多少?: A 15.0 , B 12.0 , C 7.0 , D 9.0。只能选择一个选项，禁止解释。","请选择一个选项90 / 10 等于多少?: B 12.0 , A 15.0 , C 7.0 , D 9.0。只能选择一个选项，禁止解释。"
2 + 5 等于多少?,4,8,7,12,7,C,"请选择一个选项2 + 5 等于多少?: A 4.0 , B 8.0 , C 7.0 , D 12.0。只能选择一个选项，禁止解释。","请选择一个选项2 + 5 等于多少?: B 8.0 , A 4.0 , C 7.0 , D 12.0。只能选择一个选项，禁止解释。"
8 - 9 等于多少?,5,2,-2,-1,-1,D,"请选择一个选项8 - 9 等于多少?: A 5.0 , B 2.0 , C -2.0 , D -1.0。只能选择一个选项，禁止解释。","请选择一个选项8 - 9 等于多少?: B 2.0 , A 5.0 , C -2.0 , D -1.0。只能选择一个选项，禁止解释。"
10 - 6 等于多少?,4,9,3,5,4,A,"请选择一个选项10 - 6 等于多少?: A 4.0 , B 9.0 , C 3.0 , D 5.0。只能选择一个选项，禁止解释。","请选择一个选项10 - 6 等于多少?: B 9.0 , A 4.0 , C 3.0 , D 5.0。只能选择一个选项，禁止解释。"
